Result,"Type","Value","Symbol","Color","Reputation","Distinctive Feature"
prefix,"This"," most values","; their symbol is"," while their primary color is","; they are known for being"," and having"
0,"association","profit","a set of scales","red","trustworthy","skin which clinks like metal"
1,"society","safety","a crow","blue","ambitious","skin textured like silk"
2,"enterprise","reputation","a honeycomb","yellow","dependable","eyes that bulge noticeably"
3,"league","customers","a fruit","green","aggressive","bony nodules growing from their brow"
4,"company","competition","a knife","purple","violent","irises that are square"
5,"cooperative","transparency","a ladder","brown","industrious","fingers that are overly long"
6,"house","improvement","an anchor","white","articulate","feet that are covered in thick hair"
7,"order","discipline","a bone","gray","duplicitous","elbows that are double-jointed"
8,"body","leadership","a razor","black","talkative","a finger missing"
9,"union","service","a bell","orange","humble","skin which is gritty like sand"
☀️️️️️️️️,"conjuration","quality","a tool","pink","impulsive","sweat glands that secrete capsacin"
🌑,"Undermarket cell","secrecy","the Watchful Moon","variegated","sardonic","eyes that glow in darkness"
